Time,,,,,0,1,2,3,4,5,6,7,8
Becomming infectious asymptomatic,"0",not isolated,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious asymptomatic,"0",not isolated,"High-risk","non-vaccinated",0,2.47872E-05,0.000140108,0.000334906,0.000572527,0.000826334,0.00108561,0.00135172,0.00163284
Becomming infectious asymptomatic,"0",not isolated,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious asymptomatic,"0",not isolated,"Low-risk","non-vaccinated",0,0.000713777,0.0040346,0.00964402,0.0164866,0.0237953,0.0312614,0.0389246,0.0470197
Becomming infectious asymptomatic,"1",In isolation,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious asymptomatic,"1",In isolation,"High-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming infectious asymptomatic,"1",In isolation,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious asymptomatic,"1",In isolation,"Low-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming infectious asymptomatic,"1",not isolated,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious asymptomatic,"1",not isolated,"High-risk","non-vaccinated",0,7.72776E-05,0.000436809,0.00104412,0.00178494,0.00257622,0.00338454,0.0042142,0.00509062
Becomming infectious asymptomatic,"1",not isolated,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious asymptomatic,"1",not isolated,"Low-risk","non-vaccinated",0.0772649,0.0781454,0.0823943,0.0899748,0.099971,0.111841,0.125632,0.141819,0.161094
Becomming infectious asymptomatic,"2",In isolation,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious asymptomatic,"2",In isolation,"High-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming infectious asymptomatic,"2",In isolation,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious asymptomatic,"2",In isolation,"Low-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming infectious asymptomatic,"2",not isolated,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious asymptomatic,"2",not isolated,"High-risk","non-vaccinated",0,1.56013E-05,8.81859E-05,0.000210794,0.000360355,0.000520105,0.000683294,0.000850791,0.00102773
Becomming infectious asymptomatic,"2",not isolated,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious asymptomatic,"2",not isolated,"Low-risk","non-vaccinated",0,0.000394097,0.00222762,0.00532475,0.00910274,0.0131381,0.0172603,0.0214914,0.025961
Becomming infectious symptomatic,"0",In isolation,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious symptomatic,"0",In isolation,"High-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming infectious symptomatic,"0",In isolation,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious symptomatic,"0",In isolation,"Low-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming infectious symptomatic,"0",not isolated,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious symptomatic,"0",not isolated,"High-risk","non-vaccinated",0,4.48432E-05,0.000253474,0.000605888,0.00103578,0.00149495,0.001964,0.00244544,0.00295402
Becomming infectious symptomatic,"0",not isolated,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious symptomatic,"0",not isolated,"Low-risk","non-vaccinated",0,0.000959809,0.00542528,0.0129682,0.0221694,0.0319973,0.0420369,0.0523415,0.0632269
Becomming infectious symptomatic,"1",In isolation,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious symptomatic,"1",In isolation,"High-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming infectious symptomatic,"1",In isolation,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious symptomatic,"1",In isolation,"Low-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming infectious symptomatic,"1",not isolated,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious symptomatic,"1",not isolated,"High-risk","non-vaccinated",0,0.000139805,0.000790244,0.00188894,0.00322918,0.00466071,0.00612307,0.00762403,0.0092096
Becomming infectious symptomatic,"1",not isolated,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious symptomatic,"1",not isolated,"Low-risk","non-vaccinated",0.103897,0.105081,0.110795,0.120988,0.13443,0.150392,0.168936,0.190703,0.216622
Becomming infectious symptomatic,"2",In isolation,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious symptomatic,"2",In isolation,"High-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming infectious symptomatic,"2",In isolation,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious symptomatic,"2",In isolation,"Low-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming infectious symptomatic,"2",not isolated,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious symptomatic,"2",not isolated,"High-risk","non-vaccinated",0,2.82248E-05,0.00015954,0.000381353,0.000651929,0.000940937,0.00123617,0.00153919,0.0018593
Becomming infectious symptomatic,"2",not isolated,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious symptomatic,"2",not isolated,"Low-risk","non-vaccinated",0,0.000529938,0.00299546,0.00716014,0.0122404,0.0176667,0.0232098,0.0288993,0.0349094
Becomming mild simptomatic,"0",In isolation,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"0",In isolation,"High-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"0",In isolation,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"0",In isolation,"Low-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"0",not isolated,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"0",not isolated,"High-risk","non-vaccinated",0,2.21865E-06,4.63766E-05,0.000187512,0.00041903,0.00070381,0.00101133,0.00132804,0.00165464
Becomming mild simptomatic,"0",not isolated,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"0",not isolated,"Low-risk","non-vaccinated",0,6.38888E-05,0.00133547,0.00539963,0.0120665,0.0202671,0.0291224,0.0382426,0.0476475
Becomming mild simptomatic,"0",switch,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"0",switch,"High-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"0",switch,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"0",switch,"Low-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"1",In isolation,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"1",In isolation,"High-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"1",In isolation,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"1",In isolation,"Low-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"1",not isolated,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"1",not isolated,"High-risk","non-vaccinated",0,6.91697E-06,0.000144586,0.000584596,0.00130639,0.00219423,0.00315296,0.00414036,0.00515859
Becomming mild simptomatic,"1",not isolated,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"1",not isolated,"Low-risk","non-vaccinated",0,0.0550576,0.0906453,0.100852,0.110431,0.122563,0.13706,0.153992,0.173905
Becomming mild simptomatic,"1",switch,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"1",switch,"High-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"1",switch,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"1",switch,"Low-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"2",In isolation,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"2",In isolation,"High-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"2",In isolation,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"2",In isolation,"Low-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"2",not isolated,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"2",not isolated,"High-risk","non-vaccinated",0,1.39645E-06,2.919E-05,0.000118022,0.000263743,0.000442986,0.00063654,0.000835885,0.00104145
Becomming mild simptomatic,"2",not isolated,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"2",not isolated,"Low-risk","non-vaccinated",0,3.52749E-05,0.000737353,0.0029813,0.00666227,0.01119,0.0160793,0.0211149,0.0263076
Becomming mild simptomatic,"2",switch,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"2",switch,"High-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"2",switch,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming mild simptomatic,"2",switch,"Low-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"0",In isolation,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"0",In isolation,"High-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"0",In isolation,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"0",In isolation,"Low-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"0",not isolated,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"0",not isolated,"High-risk","non-vaccinated",0,1.06539E-06,2.22699E-05,9.00426E-05,0.000201217,0.000337967,0.000485635,0.000637722,0.000794555
Becomming severe symptomatic,"0",not isolated,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"0",not isolated,"Low-risk","non-vaccinated",0,6.40174E-06,0.000133816,0.00054105,0.00120908,0.00203079,0.0029181,0.00383196,0.00477434
Becomming severe symptomatic,"0",switch,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"0",switch,"High-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"0",switch,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"0",switch,"Low-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"1",In isolation,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"1",In isolation,"High-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"1",In isolation,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"1",In isolation,"Low-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"1",not isolated,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"1",not isolated,"High-risk","non-vaccinated",0,3.32151E-06,6.94297E-05,0.000280721,0.000627324,0.00105366,0.00151404,0.00198819,0.00247714
Becomming severe symptomatic,"1",not isolated,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"1",not isolated,"Low-risk","non-vaccinated",0,0.00551684,0.00908277,0.0101055,0.0110653,0.012281,0.0137336,0.0154302,0.0174255
Becomming severe symptomatic,"1",switch,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"1",switch,"High-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"1",switch,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"1",switch,"Low-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"2",In isolation,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"2",In isolation,"High-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"2",In isolation,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"2",In isolation,"Low-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"2",not isolated,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"2",not isolated,"High-risk","non-vaccinated",0,6.70569E-07,1.40169E-05,5.66739E-05,0.000126648,0.000212721,0.000305665,0.000401389,0.000500102
Becomming severe symptomatic,"2",not isolated,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"2",not isolated,"Low-risk","non-vaccinated",0,3.53459E-06,7.38837E-05,0.00029873,0.000667567,0.00112126,0.00161117,0.00211573,0.00263605
Becomming severe symptomatic,"2",switch,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"2",switch,"High-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"2",switch,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming severe symptomatic,"2",switch,"Low-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Beds per person,,,,,1
"beds-C",,,,,3
"beds-H",,,,,40
begin time trigger,,,,,0
"begin-trigger",,,,,0,0,0,0,0,0,0,0,0
"blocked-bed-effect?",,,,,0
"CFR%",,,,,4.26812,4.26812,4.26812,4.26812,4.26812,4.26812,4.26812,4.26812,4.26812
Chance of being informed on becomming symptomatic,"0","High-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Chance of being informed on becomming symptomatic,"0","High-risk","non-vaccinated",,0,0,0,0,0,0,0,0,0
Chance of being informed on becomming symptomatic,"0","Low-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Chance of being informed on becomming symptomatic,"0","Low-risk","non-vaccinated",,0,0,0,0,0,0,0,0,0
Chance of being informed on becomming symptomatic,"1","High-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Chance of being informed on becomming symptomatic,"1","High-risk","non-vaccinated",,0,0,0,0,0,0,0,0,0
Chance of being informed on becomming symptomatic,"1","Low-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Chance of being informed on becomming symptomatic,"1","Low-risk","non-vaccinated",,0,0,0,0,0,0,0,0,0
Chance of being informed on becomming symptomatic,"2","High-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Chance of being informed on becomming symptomatic,"2","High-risk","non-vaccinated",,0,0,0,0,0,0,0,0,0
Chance of being informed on becomming symptomatic,"2","Low-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Chance of being informed on becomming symptomatic,"2","Low-risk","non-vaccinated",,0,0,0,0,0,0,0,0,0
Chance of being informed on infection,"0","High-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Chance of being informed on infection,"0","High-risk","non-vaccinated",,0,0,0,0,0,0,0,0,0
Chance of being informed on infection,"0","Low-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Chance of being informed on infection,"0","Low-risk","non-vaccinated",,0,0,0,0,0,0,0,0,0
Chance of being informed on infection,"1","High-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Chance of being informed on infection,"1","High-risk","non-vaccinated",,0,0,0,0,0,0,0,0,0
Chance of being informed on infection,"1","Low-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Chance of being informed on infection,"1","Low-risk","non-vaccinated",,0,0,0,0,0,0,0,0,0
Chance of being informed on infection,"2","High-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Chance of being informed on infection,"2","High-risk","non-vaccinated",,0,0,0,0,0,0,0,0,0
Chance of being informed on infection,"2","Low-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Chance of being informed on infection,"2","Low-risk","non-vaccinated",,0,0,0,0,0,0,0,0,0
chance of contact,"0","High-risk",vaccinated,,0,0,0,0,0,0,0,0,0
chance of contact,"0","High-risk","non-vaccinated",,0.0986,0.104994,0.112788,0.123804,0.139224,0.159559,0.184974,0.215587,0.251667
chance of contact,"0","Low-risk",vaccinated,,0,0,0,0,0,0,0,0,0
chance of contact,"0","Low-risk","non-vaccinated",,2.36988,2.52357,2.71089,2.97567,3.34629,3.83504,4.4459,5.1817,6.04889
chance of contact,"1","High-risk",vaccinated,,0,0,0,0,0,0,0,0,0
chance of contact,"1","High-risk","non-vaccinated",,0.3074,0.327335,0.351633,0.385978,0.434051,0.497448,0.576683,0.672125,0.784608
chance of contact,"1","Low-risk",vaccinated,,0,0,0,0,0,0,0,0,0
chance of contact,"1","Low-risk","non-vaccinated",,7.37876,7.85728,8.44051,9.26493,10.4189,11.9406,13.8426,16.1335,18.8336
chance of contact,"2","High-risk",vaccinated,,0,0,0,0,0,0,0,0,0
chance of contact,"2","High-risk","non-vaccinated",,0.06206,0.0660846,0.07099,0.0779239,0.0876292,0.100428,0.116425,0.135693,0.158402
chance of contact,"2","Low-risk",vaccinated,,0,0,0,0,0,0,0,0,0
chance of contact,"2","Low-risk","non-vaccinated",,1.30848,1.39334,1.49676,1.64296,1.84758,2.11744,2.45471,2.86097,3.33977
Chance of contact lookup,,,,,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058
chance severe infection,"High-risk",,,,0.228905,0.228905,0.228905,0.228905,0.228905,0.228905,0.228905,0.228905,0.228905
chance severe infection,"Low-risk",,,,0.0533971,0.0533971,0.0533971,0.0533971,0.0533971,0.0533971,0.0533971,0.0533971,0.0533971
"check-triggered?",,,,,0,0,0,0,0,0,0,0,0
"Community IFR%",,,,,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Condition worsens,"0","High-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Condition worsens,"0","High-risk","non-vaccinated",,0,5.28527E-14,1.12374E-10,5.49332E-09,6.32595E-08,3.41897E-07,1.16873E-06,2.95362E-06,6.04926E-06
Condition worsens,"0","Low-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Condition worsens,"0","Low-risk","non-vaccinated",,0,3.17583E-13,6.75235E-10,3.30084E-08,3.80115E-07,2.0544E-06,7.02272E-06,1.77478E-05,3.6349E-05
Condition worsens,"1","High-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Condition worsens,"1","High-risk","non-vaccinated",,0,1.64776E-13,3.50342E-10,1.71262E-08,1.97221E-07,1.06591E-06,3.6437E-06,9.20836E-06,1.88595E-05
Condition worsens,"1","Low-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Condition worsens,"1","Low-risk","non-vaccinated",,0,6.442E-09,1.07921E-06,1.22089E-05,4.99582E-05,0.000122405,0.000223532,0.000341041,0.00046449
Condition worsens,"2","High-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Condition worsens,"2","High-risk","non-vaccinated",,0,3.32661E-14,7.07295E-11,3.45756E-09,3.98163E-08,2.15194E-07,7.35615E-07,1.85905E-06,3.80748E-06
Condition worsens,"2","Low-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Condition worsens,"2","Low-risk","non-vaccinated",,0,1.75347E-13,3.72817E-10,1.82249E-08,2.09873E-07,1.13429E-06,3.87745E-06,9.79908E-06,2.00693E-05
"contact-age-homofily","0",,,,0.881,0.881935,0.891878,0.919466,0.964379,1.01953,1.07681,1.1305,1.17766
"contact-age-homofily","1",,,,1.136,1.13573,1.1329,1.12505,1.11226,1.09656,1.08025,1.06497,1.05154
"contact-age-homofily","2",,,,0.46,0.460046,0.460536,0.461894,0.464106,0.466822,0.469642,0.472285,0.474607
"contact-age-homofily-0","0",,,,3.447
"contact-age-homofily-0","1",,,,0.881
"contact-age-homofily-0","2",,,,0.247
"contact-age-homofily-1","0",,,,0.881
"contact-age-homofily-1","1",,,,1.136
"contact-age-homofily-1","2",,,,0.46
"contact-age-homofily-2","0",,,,0.247
"contact-age-homofily-2","1",,,,0.46
"contact-age-homofily-2","2",,,,1.04
Critical care,"0","High-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Critical care,"0","High-risk","non-vaccinated",,0,3.63112E-15,1.8853E-11,1.56168E-09,2.65625E-08,1.97038E-07,8.826E-07,2.8293E-06,7.17054E-06
Critical care,"0","Low-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Critical care,"0","Low-risk","non-vaccinated",,0,2.18188E-14,1.13284E-10,9.38389E-09,1.59609E-07,1.18396E-06,5.30339E-06,1.70008E-05,4.30865E-05
Critical care,"1","High-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Critical care,"1","High-risk","non-vaccinated",,0,1.13205E-14,5.8777E-11,4.86878E-09,8.28125E-08,6.14294E-07,2.75164E-06,8.82076E-06,2.23552E-05
Critical care,"1","Low-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Critical care,"1","Low-risk","non-vaccinated",,0,6.38951E-10,2.66032E-07,5.29531E-06,3.32766E-05,0.000115943,0.000285622,0.000564209,0.000961004
Critical care,"2","High-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Critical care,"2","High-risk","non-vaccinated",,0,2.28547E-15,1.18663E-11,9.82943E-10,1.67187E-08,1.24018E-07,5.55519E-07,1.78079E-06,4.51322E-06
Critical care,"2","Low-risk",vaccinated,,0,0,0,0,0,0,0,0,0
Critical care,"2","Low-risk","non-vaccinated",,0,1.20468E-14,6.25476E-11,5.18112E-09,8.8125E-08,6.53701E-07,2.92816E-06,9.38662E-06,2.37893E-05
Daily free beds,,,,,43,43,42.9999,42.9993,42.9976,42.9946,42.99,42.9837,42.9757
day,,,,,1
day unit correction,,,,,1
Days per week,,,,,7
Dead,"0",In isolation,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Dead,"0",In isolation,"High-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Dead,"0",In isolation,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Dead,"0",In isolation,"Low-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Dead,"0",not isolated,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Dead,"0",not isolated,"High-risk","non-vaccinated",0,3.49481E-12,1.99663E-09,5.41313E-08,4.56774E-07,2.09834E-06,6.67972E-06,1.67056E-05,3.53197E-05
Dead,"0",not isolated,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Dead,"0",not isolated,"Low-risk","non-vaccinated",0,2.09997E-11,1.19974E-08,3.25265E-07,2.74467E-06,1.26086E-05,4.01373E-05,0.000100381,0.00021223
Dead,"1",In isolation,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Dead,"1",In isolation,"High-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Dead,"1",In isolation,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Dead,"1",In isolation,"Low-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Dead,"1",not isolated,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Dead,"1",not isolated,"High-risk","non-vaccinated",0,1.08956E-11,6.22478E-09,1.68762E-07,1.42406E-06,6.5419E-06,2.0825E-05,5.20821E-05,0.000110114
Dead,"1",not isolated,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Dead,"1",not isolated,"Low-risk","non-vaccinated",1,1,1.00001,1.00008,1.00028,1.00066,1.00129,1.00219,1.00342
Dead,"2",In isolation,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Dead,"2",In isolation,"High-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Dead,"2",In isolation,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Dead,"2",In isolation,"Low-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Dead,"2",not isolated,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Dead,"2",not isolated,"High-risk","non-vaccinated",0,2.19968E-12,1.2567E-09,3.40709E-08,2.87499E-07,1.32072E-06,4.2043E-06,1.05147E-05,2.22306E-05
Dead,"2",not isolated,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Dead,"2",not isolated,"Low-risk","non-vaccinated",0,1.15946E-11,6.62411E-09,1.79588E-07,1.51541E-06,6.96157E-06,2.2161E-05,5.54232E-05,0.000117178
"death-no-bed",,,,,0.8
decrease episodeless suceptible,"0","High-risk",vaccinated,,0,0,0,0,0,0,0,0,0
decrease episodeless suceptible,"0","High-risk","non-vaccinated",,0.003944,0.00419977,0.00451152,0.00495217,0.00556896,0.00638235,0.00739895,0.00862349,0.0100667
decrease episodeless suceptible,"0","Low-risk",vaccinated,,0,0,0,0,0,0,0,0,0
decrease episodeless suceptible,"0","Low-risk","non-vaccinated",,0.0947952,0.100943,0.108436,0.119027,0.133852,0.153402,0.177836,0.207268,0.241955
decrease episodeless suceptible,"1","High-risk",vaccinated,,0,0,0,0,0,0,0,0,0
